scale,MAE,RMSE,R2
1.04,0.22876640937036646,0.4143254251756393,0.8582257584840671
1.0500000000000003,0.229309335060447,0.41493142185104004,0.8578107342365912
1.0300000000000002,0.2293995574718383,0.4142230464600299,0.8582958139071883
1.06,0.23045157166797528,0.416038835802239,0.8570507411647605
1.02,0.23070976776003932,0.4146246587629431,0.858020900505955
1.0700000000000003,0.23207833326927935,0.41764367841024985,0.8559457792685752
1.0100000000000002,0.23331114551441565,0.4155288007514655,0.857401018280367
1.08,0.23428201275621896,0.41974024408008725,0.8544958485480352
1.0900000000000003,0.236519839014296,0.4223212095654011,0.8527009490031404
1.0,0.23667031617013284,0.41693220314293356,0.8564361672304242
1.1,0.2391244649580123,0.4253777577179614,0.8505610806338912
0.9900000000000001,0.2405768485472933,0.4188298472474172,0.8551263473561268
1.1100000000000003,0.2424601534918313,0.4288997209576422,0.8480762434402871
0.9800000000000001,0.24546619870325267,0.4212150531937035,0.8534715586574747
1.12,0.2463701925327163,0.4328757393039381,0.8452464374223285
1.1300000000000003,0.2506467444645328,0.4372934276687953,0.8420716625800151
0.9700000000000001,0.2508082545447555,0.4240795942893967,0.851471801134468
1.1400000000000001,0.2557850439037676,0.44213954725937143,0.8385519189133471
0.9600000000000001,0.25636466076279685,0.4274138330849264,0.8491270747871065
1.1500000000000004,0.2618443628132045,0.44740017633336415,0.8346872064223243
0.9500000000000001,0.2621860991769416,0.4312068741289319,0.8464373796153905
0.9400000000000001,0.2687704792147435,0.43544672813530805,0.8434027156193197
0.93,0.2759073806225687,0.44012048231757,0.8400230827988941
0.92,0.28353743607041093,0.4452144719471294,0.8362984811541141
0.91,0.29153473917972406,0.4507144487043622,0.8322289106849792
0.9,0.29962144876408187,0.45660574205171606,0.8278143713914897
